mem,cStart,eLat,bLat,eCost
128,0,11795.65,11796,0.0000249716
128,0,11809.64,11810,0.0000250010
128,0,11716.54,11717,0.0000248057
128,0,11682.23,11683,0.0000247343
128,0,11694.4,11695,0.0000247595
160,0,9378.5,9379,0.0000248199
160,0,9328.04,9329,0.0000246886
160,0,9287.91,9288,0.0000245810
160,0,9330.73,9331,0.0000246939
160,0,9371.94,9372,0.0000248015
192,0,8000.95,8001,0.0000254032
192,0,7995.57,7996,0.0000253874
192,0,7939.68,7940,0.0000252110
192,0,7910.88,7911,0.0000251197
192,0,7983.02,7984,0.0000253496
224,0,6807.07,6808,0.0000252194
224,0,6746.14,6747,0.0000249952
224,0,6788.54,6789,0.0000251496
224,0,6748.32,6749,0.0000250026
224,0,6767.78,6768,0.0000250724
256,0,5878.63,5879,0.0000248918
256,0,5957.85,5958,0.0000252236
256,0,5929.09,5930,0.0000251060
256,0,5895.83,5896,0.0000249632
256,0,5913.52,5914,0.0000250388
288,0,5254.29,5255,0.0000250299
288,0,5126.4,5127,0.0000244251
288,0,5147.01,5148,0.0000245243
288,0,5179.45,5180,0.0000246755
288,0,5113.88,5114,0.0000243637
320,0,4602.0,4603,0.0000243658
320,0,4661.29,4662,0.0000246755
320,0,4647.24,4648,0.0000246020
320,0,4612.69,4613,0.0000244183
320,0,4602.38,4603,0.0000243658
352,0,4328.2,4329,0.0000252000
352,0,4276.42,4277,0.0000248997
352,0,4259.28,4260,0.0000248015
352,0,4269.23,4270,0.0000248593
352,0,4261.33,4262,0.0000248131
384,0,3909.5,3910,0.0000248330
384,0,3862.4,3863,0.0000245369
384,0,3899.88,3900,0.0000247700
384,0,3834.85,3835,0.0000243605
384,0,3829.16,3830,0.0000243290
416,0,3536.14,3537,0.0000243400
416,0,3519.51,3520,0.0000242240
416,0,3549.21,3550,0.0000244288
416,0,3544.47,3545,0.0000243946
416,0,3528.46,3529,0.0000242854
448,0,3215.3,3216,0.0000238376
448,0,3236.5,3237,0.0000239920
448,0,3273.1,3274,0.0000242639
448,0,3265.77,3266,0.0000242051
448,0,3267.55,3268,0.0000242198
480,0,3072.47,3073,0.0000243999
480,0,3082.83,3083,0.0000244786
480,0,3047.27,3048,0.0000242030
480,0,3049.49,3050,0.0000242188
480,0,3057.09,3058,0.0000242818
512,0,2847.58,2848,0.0000241232
512,0,2688.73,2689,0.0000227876
512,0,2660.18,2661,0.0000225524
512,0,2765.14,2766,0.0000234344
512,0,2751.64,2752,0.0000233168
544,0,2731.04,2732,0.0000245831
544,0,2622.86,2623,0.0000236103
544,0,2583.52,2584,0.0000232622
544,0,2601.5,2602,0.0000234229
544,0,2573.9,2574,0.0000231730
576,0,2579.62,2580,0.0000245810
576,0,2513.59,2514,0.0000239573
576,0,2509.22,2510,0.0000239195
576,0,2536.22,2537,0.0000241747
576,0,2479.71,2480,0.0000236360
608,0,2364.64,2365,0.0000237909
608,0,2325.81,2326,0.0000234019
608,0,2336.4,2337,0.0000235116
608,0,2330.66,2331,0.0000234517
608,0,2346.18,2347,0.0000236113
640,0,2230.64,2231,0.0000236255
640,0,2202.11,2203,0.0000233315
640,0,2251.49,2252,0.0000238460
640,0,2249.93,2250,0.0000238250
640,0,2289.0,2290,0.0000242450
672,0,2136.71,2137,0.0000237604
672,0,2142.84,2143,0.0000238266
672,0,2162.25,2163,0.0000240471
672,0,2149.5,2150,0.0000239038
672,0,2114.6,2115,0.0000235179
704,0,2079.03,2080,0.0000242240
704,0,2057.2,2058,0.0000239699
704,0,2042.58,2043,0.0000237967
704,0,2050.66,2051,0.0000238891
704,0,2064.62,2065,0.0000240508
736,0,1942.42,1943,0.0000236617
736,0,1920.27,1921,0.0000233961
736,0,1931.58,1932,0.0000235289
736,0,1943.4,1944,0.0000236738
736,0,1913.29,1914,0.0000233116
768,0,1803.28,1804,0.0000229304
768,0,1814.16,1815,0.0000230690
768,0,1881.57,1882,0.0000239132
768,0,1825.32,1826,0.0000232076
768,0,1847.27,1848,0.0000234848
800,0,1737.93,1738,0.0000230113
800,0,1727.89,1728,0.0000228800
800,0,1677.08,1678,0.0000222238
800,0,1702.44,1703,0.0000225519
800,0,1749.83,1750,0.0000231688
832,0,1700.89,1701,0.0000234187
832,0,1684.79,1685,0.0000232003
832,0,1705.99,1706,0.0000234869
832,0,1669.53,1670,0.0000229955
832,0,1650.78,1651,0.0000227362
864,0,1628.76,1629,0.0000232911
864,0,1601.16,1602,0.0000229084
864,0,1599.59,1600,0.0000228800
864,0,1569.48,1570,0.0000224548
864,0,1559.71,1560,0.0000223130
896,0,1646.06,1647,0.0000244109
896,0,1563.31,1564,0.0000231908
896,0,1573.86,1574,0.0000233378
896,0,1629.84,1630,0.0000241610
896,0,1591.19,1592,0.0000236024
928,0,1515.36,1516,0.0000232811
928,0,1533.75,1534,0.0000235552
928,0,1512.5,1513,0.0000232354
928,0,1518.84,1519,0.0000233268
928,0,1530.66,1531,0.0000235095
960,0,1544.5,1545,0.0000245338
960,0,1448.79,1449,0.0000230218
960,0,1433.15,1434,0.0000227855
960,0,1453.82,1454,0.0000231005
960,0,1458.7,1459,0.0000231793
992,0,1404.67,1405,0.0000230664
992,0,1405.34,1406,0.0000230827
992,0,1383.76,1384,0.0000227246
992,0,1391.85,1392,0.0000228548
992,0,1426.55,1427,0.0000234244
1024,0,1262.24,1263,0.0000214184
