mem,cStart,eLat,bLat,eCost
1152,0,86.61,87,0.0000018443
1152,0,88.87,89,0.0000018821
1152,0,90.45,91,0.0000019199
1184,0,112.13,113,0.0000023950
1184,0,84.38,85,0.0000018511
1184,0,80.75,81,0.0000017734
1184,0,89.18,90,0.0000019482
1184,0,84.31,85,0.0000018511
1216,0,112.48,113,0.0000024544
1216,0,79.61,80,0.0000017960
1216,0,88.22,89,0.0000019756
1216,0,79.82,80,0.0000017960
1216,0,79.86,80,0.0000017960
1248,0,82.7,83,0.0000018994
1248,0,75.95,76,0.0000017561
1248,0,86.21,87,0.0000019813
1248,0,84.87,85,0.0000019404
1248,0,80.77,81,0.0000018585
1280,0,79.62,80,0.0000018800
1280,0,77.17,78,0.0000018380
1280,0,87.86,88,0.0000020480
1280,0,82.67,83,0.0000019430
1280,0,81.47,82,0.0000019220
1312,0,79.06,80,0.0000019220
1312,0,71.06,72,0.0000017498
1312,0,75.45,76,0.0000018359
1312,0,76.12,77,0.0000018574
1312,0,75.52,76,0.0000018359
1344,0,115.44,116,0.0000027578
1344,0,77.5,78,0.0000019199
1344,0,77.03,78,0.0000019199
1344,0,76.51,77,0.0000018979
1344,0,75.38,76,0.0000018758
1376,0,72.52,73,0.0000018480
1376,0,90.03,91,0.0000022543
1376,0,72.42,73,0.0000018480
1376,0,77.06,78,0.0000019609
1376,0,72.12,73,0.0000018480
1408,0,73.17,74,0.0000019094
1408,0,101.53,102,0.0000025562
1408,0,72.57,73,0.0000018863
1408,0,68.35,69,0.0000017939
1408,0,67.85,68,0.0000017708
1440,0,68.81,69,0.0000018301
1440,0,75.23,76,0.0000019955
1440,0,73.22,74,0.0000019483
1440,0,73.03,74,0.0000019483
1440,0,72.3,73,0.0000019246
1472,0,86.72,87,0.0000023010
1472,0,73.62,74,0.0000019871
1472,0,68.16,69,0.0000018664
1472,0,71.59,72,0.0000019388
1472,0,72.05,73,0.0000019629
1504,0,97.95,98,0.0000026181
1504,0,71.58,72,0.0000019766
1504,0,69.2,70,0.0000019273
1504,0,68.16,69,0.0000019026
1504,0,68.0,68,0.0000018779
1536,0,67.67,68,0.0000019136
1536,0,68.05,69,0.0000019388
1536,0,68.5,69,0.0000019388
1536,0,67.7,68,0.0000019136
1536,0,67.69,68,0.0000019136
1568,0,78.06,79,0.0000022323
1568,0,66.16,67,0.0000019236
1568,0,64.44,65,0.0000018721
1568,0,70.41,71,0.0000020265
1568,0,69.16,70,0.0000020008
1600,0,68.0,69,0.0000020113
1600,0,66.37,67,0.0000019588
1600,0,60.5,61,0.0000018013
1600,0,63.71,64,0.0000018800
1600,0,63.96,64,0.0000018800
1632,0,72.04,73,0.0000021546
1632,0,65.81,66,0.0000019672
1632,0,71.87,72,0.0000021278
1632,0,65.6,66,0.0000019672
1632,0,64.35,65,0.0000019404
1664,0,63.76,64,0.0000019472
1664,0,65.54,66,0.0000020018
1664,0,67.57,68,0.0000020564
1664,0,62.54,63,0.0000019199
1664,0,62.71,63,0.0000019199
1696,0,79.56,80,0.0000024260
1696,0,75.33,76,0.0000023147
1696,0,63.67,64,0.0000019808
1696,0,68.64,69,0.0000021199
1696,0,68.87,69,0.0000021199
1728,0,75.06,76,0.0000023546
1728,0,70.57,71,0.0000022129
1728,0,64.37,65,0.0000020428
1728,0,63.81,64,0.0000020144
1728,0,64.0,65,0.0000020428
1760,0,61.09,62,0.0000019903
1760,0,62.07,63,0.0000020191
1760,0,60.19,61,0.0000019614
1760,0,58.95,59,0.0000019036
1760,0,59.44,60,0.0000019325
1792,0,69.11,70,0.0000022580
1792,0,63.44,64,0.0000020816
1792,0,112.33,113,0.0000035222
1792,0,60.09,61,0.0000019934
1792,0,61.0,61,0.0000019934
1824,0,77.4,78,0.0000025342
1824,0,60.35,61,0.0000020254
1824,0,60.3,61,0.0000020254
1824,0,61.7,62,0.0000020554
1824,0,60.62,61,0.0000020254
1856,0,73.21,74,0.0000024533
1856,0,66.94,67,0.0000022402
1856,0,59.87,60,0.0000020270
1856,0,60.22,61,0.0000020575
1856,0,60.39,61,0.0000020575
1888,0,82.66,83,0.0000027709
1888,0,59.69,60,0.0000020585
1888,0,60.29,61,0.0000020895
1888,0,59.88,60,0.0000020585
1888,0,59.86,60,0.0000020585
1920,0,62.0,62,0.0000021530
1920,0,66.69,67,0.0000023105
1920,0,62.69,63,0.0000021845
1920,0,63.96,64,0.0000022160
1920,0,60.2,61,0.0000021215
1952,0,59.56,60,0.0000021215
1952,0,59.77,60,0.0000021215
1952,0,59.47,60,0.0000021215
1952,0,60.85,61,0.0000021535
1952,0,59.56,60,0.0000021215
1984,0,72.67,73,0.0000025761
1984,0,66.53,67,0.0000023809
1984,0,59.94,60,0.0000021530
1984,0,60.26,61,0.0000021856
1984,0,60.02,61,0.0000021856
2016,0,60.45,61,0.0000022176
2016,0,61.89,62,0.0000022507
2016,0,61.28,62,0.0000022507
2016,0,61.23,62,0.0000022507
2016,0,63.26,64,0.0000023168
2048,0,68.48,69,0.0000025184
2048,0,94.12,95,0.0000033920
2048,0,59.75,60,0.0000022160
2048,0,60.62,61,0.0000022496
2048,0,59.63,60,0.0000022160
2080,0,60.26,61,0.0000022816
2080,0,60.18,61,0.0000022816
2080,0,60.6,61,0.0000022816
2080,0,59.44,60,0.0000022475
2080,0,59.62,60,0.0000022475
2112,0,59.78,60,0.0000022790
2112,0,58.98,59,0.0000022443
2112,0,58.91,59,0.0000022443
2112,0,59.3,60,0.0000022790
2112,0,59.36,60,0.0000022790
2144,0,75.34,76,0.0000028733
2144,0,60.43,61,0.0000023457
2144,0,60.57,61,0.0000023457
2144,0,60.7,61,0.0000023457
2144,0,60.56,61,0.0000023457
2176,0,60.78,61,0.0000023777
2176,0,61.1,62,0.0000024134
2176,0,60.65,61,0.0000023777
2176,0,59.81,60,0.0000023420
2176,0,60.18,61,0.0000023777
2208,0,63.76,64,0.0000025184
2208,0,61.1,62,0.0000024459
2208,0,60.26,61,0.0000024097
2208,0,60.78,61,0.0000024097
2208,0,60.49,61,0.0000024097
2240,0,71.39,72,0.0000028460
2240,0,66.94,67,0.0000026622
2240,0,59.98,60,0.0000024050
2240,0,60.43,61,0.0000024417
2240,0,59.59,60,0.0000024050
2272,0,59.75,60,0.0000024365
2272,0,61.9,62,0.0000025111
2272,0,61.8,62,0.0000025111
2272,0,59.94,60,0.0000024365
2272,0,61.29,62,0.0000025111
2304,0,61.05,62,0.0000025436
2304,0,61.62,62,0.0000025436
2304,0,61.23,62,0.0000025436
2304,0,60.78,61,0.0000025058
2304,0,60.93,61,0.0000025058
2336,0,59.11,60,0.0000024995
2336,0,58.53,59,0.0000024612
2336,0,59.26,60,0.0000024995
2336,0,58.96,59,0.0000024612
2336,0,58.81,59,0.0000024612
2368,0,72.62,73,0.0000030361
2368,0,62.23,63,0.0000026475
2368,0,61.6,62,0.0000026087
2368,0,61.48,62,0.0000026087
2368,0,61.27,62,0.0000026087
2400,0,60.42,61,0.0000026019
2400,0,60.48,61,0.0000026019
2400,0,59.91,60,0.0000025625
2400,0,60.75,61,0.0000026019
2400,0,60.56,61,0.0000026019
2432,0,60.33,61,0.0000026339
2432,0,59.51,60,0.0000025940
2432,0,61.37,62,0.0000026738
2432,0,59.66,60,0.0000025940
2432,0,60.21,61,0.0000026339
2464,0,60.35,61,0.0000026659
2464,0,60.19,61,0.0000026659
2464,0,61.72,62,0.0000027064
2464,0,64.82,65,0.0000028276
2464,0,61.04,62,0.0000027064
2496,0,60.53,61,0.0000026980
2496,0,68.61,69,0.0000030256
2496,0,68.6,69,0.0000030256
2496,0,60.74,61,0.0000026980
2496,0,59.81,60,0.0000026570
2528,0,60.23,61,0.0000027300
2528,0,67.26,68,0.0000030203
2528,0,60.87,61,0.0000027300
2528,0,60.58,61,0.0000027300
2528,0,60.86,61,0.0000027300
2560,0,89.36,90,0.0000039800
2560,0,61.44,62,0.0000028040
2560,0,59.83,60,0.0000027200
2560,0,59.36,60,0.0000027200
2560,0,59.73,60,0.0000027200
2592,0,60.19,61,0.0000027940
2592,0,59.64,60,0.0000027515
2592,0,58.95,59,0.0000027090
2592,0,59.95,60,0.0000027515
2592,0,60.97,61,0.0000027940
2624,0,63.88,64,0.0000029552
2624,0,59.23,60,0.0000027830
2624,0,59.78,60,0.0000027830
2624,0,59.78,60,0.0000027830
2624,0,60.89,61,0.0000028261
2656,0,58.67,59,0.0000027709
2656,0,59.19,60,0.0000028145
2656,0,59.43,60,0.0000028145
2656,0,59.43,60,0.0000028145
2656,0,60.0,60,0.0000028145
2688,0,60.46,61,0.0000028901
2688,0,73.95,74,0.0000034634
2688,0,59.52,60,0.0000028460
2688,0,59.65,60,0.0000028460
2688,0,59.49,60,0.0000028460
2720,0,84.48,85,0.0000039931
2720,0,69.61,70,0.0000033238
2720,0,64.69,65,0.0000031006
2720,0,62.0,63,0.0000030114
2720,0,61.45,62,0.0000029668
2752,0,60.75,61,0.0000029542
2752,0,60.31,61,0.0000029542
2752,0,59.88,60,0.0000029090
2752,0,59.83,60,0.0000029090
2752,0,60.02,61,0.0000029542
2784,0,61.18,62,0.0000030319
2784,0,60.87,61,0.0000029862
2784,0,60.19,61,0.0000029862
2784,0,61.29,62,0.0000030319
2784,0,61.15,62,0.0000030319
2816,0,81.68,82,0.0000039884
2816,0,63.19,64,0.0000031568
2816,0,60.84,61,0.0000030182
2816,0,60.16,61,0.0000030182
2816,0,60.33,61,0.0000030182
2848,0,59.42,60,0.0000030035
2848,0,87.27,88,0.0000043118
2848,0,60.03,61,0.0000030502
2848,0,59.11,60,0.0000030035
2848,0,59.15,60,0.0000030035
2880,0,60.83,61,0.0000030823
2880,0,67.32,68,0.0000034130
2880,0,60.6,61,0.0000030823
2880,0,59.84,60,0.0000030350
2880,0,59.94,60,0.0000030350
2912,0,62.67,63,0.0000032098
2912,0,60.07,61,0.0000031143
2912,0,60.23,61,0.0000031143
2912,0,60.02,61,0.0000031143
2912,0,60.17,61,0.0000031143
2944,0,70.8,71,0.0000036293
2944,0,65.42,66,0.0000033878
2944,0,59.7,60,0.0000030980
2944,0,59.59,60,0.0000030980
2944,0,59.5,60,0.0000030980
2976,0,62.03,63,0.0000032760
2976,0,92.27,93,0.0000047407
2976,0,61.68,62,0.0000032272
2976,0,59.94,60,0.0000031295
2976,0,59.97,60,0.0000031295
3008,0,62.14,63,0.0000033091
3008,0,61.26,62,0.0000032597
3008,0,61.74,62,0.0000032597
3008,0,63.46,64,0.0000033584
3008,0,60.05,61,0.0000032103
