rStart,rEnd,status,mem,rLat,rId,eStart,eEnd,eLat,cId,cStart,vmId,primeNumber,result,osType,nodeVersion,pName,vName,cName,version
1619799316887.9768,1619799324697.2092,200,256,7.809232234954834,1F4HUU9T3,1619799317912,1619799324672,6760,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500735,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799324698.444,1619799332554.4329,200,256,7.8559887409210205,1F4HRRN06,1619799325653,1619799332413,6760,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500827,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799332555.4695,1619799339415.88,200,256,6.860410451889038,1F4HRDUSK,1619799332798,1619799339454,6656,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500174,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799339417.116,1619799347300.989,200,256,7.883872985839844,1F4HPL91G,1619799339652,1619799346332,6680,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500485,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799347301.9858,1619799354381.6108,200,256,7.079625129699707,1F4I1BNIF,1619799347574,1619799354315,6741,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500422,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799354382.169,1619799362352.8867,200,256,7.970717668533325,1F4HTRJFL,1619799355274,1619799362135,6861,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500676,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799362353.9055,1619799369214.57,200,256,6.86066460609436,1F4I1EE44,1619799362580,1619799369234,6654,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500284,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799369215.7615,1619799377099.942,200,256,7.884180545806885,1F4HUVIJO,1619799370132,1619799377073,6941,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500005,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799377102.44,1619799384012.1648,200,256,6.909724950790405,1F4HTKLNP,1619799377377,1619799384033,6656,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500711,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
1619799384012.8613,1619799391696.105,200,256,7.683243751525879,1F4HPEV10,1619799384972,1619799391714,6742,2021/04/30/[$LATEST]3ef0b3ea081c48bfbd5df31f1ff9a674,1619799135229,lBzevh,7500472,False,linux,v14.16.1,AWS,1G8O7J0,1F4HPP3F2,$LATEST
