rStart,rEnd,status,mem,rLat,rId,eStart,eEnd,eLat,cId,cStart,vmId,primeNumber,result,osType,nodeVersion,pName,vName,cName,version
1619961762449.608,1619961763879.158,200,256,1.4295501708984375,gcf_16x16x16_0,1619961763738,1619961763819,81,1F4MRPMEM,1619961763622,1G8T9T3,913739,True,linux,v14.16.1,GCF,1G8T9T3,1F4MRPMEM,37
1619961762451.795,1619961763548.3792,200,256,1.0965843200683594,gcf_16x16x16_0,1619961762730,1619961763423,693,1F4MOUR5C,1619961755023,1G8T9SQ,913753,True,linux,v14.16.1,GCF,1G8T9SQ,1F4MOUR5C,37
1619961762453.1748,1619961763873.467,200,256,1.4202921390533447,gcf_16x16x16_0,1619961763720,1619961763827,107,1F4MNRLMD,1619961763603,1G8T9T3,1045621,True,linux,v14.16.1,GCF,1G8T9T3,1F4MNRLMD,37
1619961762454.4553,1619961764097.9546,200,256,1.6434991359710693,gcf_16x16x16_0,1619961763950,1619961764056,106,1F4MQULKO,1619961763907,1G8T9T3,1045727,True,linux,v14.16.1,GCF,1G8T9T3,1F4MQULKO,37
1619961763549.5435,1619961764246.949,200,256,0.6974055767059326,gcf_16x16x16_0,1619961763700,1619961764217,517,1F4MOUR5C,1619961755023,1G8T9SQ,1046119,True,linux,v14.16.1,GCF,1G8T9SQ,1F4MOUR5C,37
1619961763880.8728,1619961764150.6716,200,256,0.26979899406433105,gcf_16x16x16_0,1619961764113,1619961764117,4,1F4MNRLMD,1619961763603,1G8T9T3,21365,False,linux,v14.16.1,GCF,1G8T9T3,1F4MNRLMD,37
1619961763882.5005,1619961764072.1714,200,256,0.18967103958129883,gcf_16x16x16_0,1619961764037,1619961764043,6,1F4MRPMEM,1619961763622,1G8T9T3,21823,False,linux,v14.16.1,GCF,1G8T9T3,1F4MRPMEM,37
1619961764073.2815,1619961764445.9033,200,256,0.3726217746734619,gcf_16x16x16_0,1619961764320,1619961764412,92,1F4MOUR5C,1619961755023,1G8T9SQ,21749,False,linux,v14.16.1,GCF,1G8T9SQ,1F4MOUR5C,37
1619961764099.2034,1619961764450.0889,200,256,0.35088562965393066,gcf_16x16x16_0,1619961764316,1619961764411,95,1F4MRPMEM,1619961763622,1G8T9T3,213,False,linux,v14.16.1,GCF,1G8T9T3,1F4MRPMEM,37
1619961764152.1262,1619961764318.1272,200,256,0.1660008430480957,gcf_16x16x16_0,1619961764288,1619961764291,3,1F4MNRLMD,1619961763603,1G8T9T3,823,True,linux,v14.16.1,GCF,1G8T9T3,1F4MNRLMD,37
1619961764247.505,1619961764425.3088,200,256,0.17780399322509766,gcf_16x16x16_0,1619961764393,1619961764393,0,1F4MNRLMD,1619961763603,1G8T9T3,749,False,linux,v14.16.1,GCF,1G8T9T3,1F4MNRLMD,37
1619961769963.9312,1619961770748.5713,200,256,0.7846403121948242,gcf_16x16x16_1,1619961770111,1619961770712,601,1F4MOUR5C,1619961755023,1G8T9SQ,913739,True,linux,v14.16.1,GCF,1G8T9SQ,1F4MOUR5C,37
1619961769974.8206,1619961770749.1846,200,256,0.7743639945983887,gcf_16x16x16_1,1619961770212,1619961770714,502,1F4MQULKO,1619961763907,1G8T9T3,913753,True,linux,v14.16.1,GCF,1G8T9T3,1F4MQULKO,37
1619961769983.0022,1619961770754.3157,200,256,0.7713134288787842,gcf_16x16x16_1,1619961770114,1619961770710,596,1F4MRPMEM,1619961763622,1G8T9T3,1045621,True,linux,v14.16.1,GCF,1G8T9T3,1F4MRPMEM,37
1619961769989.5784,1619961770657.741,200,256,0.6681625843048096,gcf_16x16x16_1,1619961770126,1619961770625,499,1F4MNRLMD,1619961763603,1G8T9T3,1045727,True,linux,v14.16.1,GCF,1G8T9T3,1F4MNRLMD,37
1619961770659.3374,1619961771362.006,200,256,0.7026686668395996,gcf_16x16x16_1,1619961770793,1619961771325,532,1F4MOUR5C,1619961755023,1G8T9SQ,1046119,True,linux,v14.16.1,GCF,1G8T9SQ,1F4MOUR5C,37
1619961770749.775,1619961770946.7358,200,256,0.1969609260559082,gcf_16x16x16_1,1619961770891,1619961770892,1,1F4MNRLMD,1619961763603,1G8T9T3,21365,False,linux,v14.16.1,GCF,1G8T9T3,1F4MNRLMD,37
1619961770751.6963,1619961770948.2866,200,256,0.19659018516540527,gcf_16x16x16_1,1619961770887,1619961770893,6,1F4MQULKO,1619961763907,1G8T9T3,21823,False,linux,v14.16.1,GCF,1G8T9T3,1F4MQULKO,37
1619961770754.99,1619961770919.997,200,256,0.1650068759918213,gcf_16x16x16_1,1619961770888,1619961770889,1,1F4MRPMEM,1619961763622,1G8T9T3,21749,False,linux,v14.16.1,GCF,1G8T9T3,1F4MRPMEM,37
1619961770921.4597,1619961771088.936,200,256,0.16747641563415527,gcf_16x16x16_1,1619961771063,1619961771063,0,1F4MRPMEM,1619961763622,1G8T9T3,213,False,linux,v14.16.1,GCF,1G8T9T3,1F4MRPMEM,37
1619961770949.8345,1619961771122.681,200,256,0.17284631729125977,gcf_16x16x16_1,1619961771085,1619961771085,0,1F4MNRLMD,1619961763603,1G8T9T3,823,True,linux,v14.16.1,GCF,1G8T9T3,1F4MNRLMD,37
1619961770954.8079,1619961771116.4924,200,256,0.16168475151062012,gcf_16x16x16_1,1619961771083,1619961771083,0,1F4MRPMEM,1619961763622,1G8T9T3,749,False,linux,v14.16.1,GCF,1G8T9T3,1F4MRPMEM,37
1619961882020.1638,1619961883520.6226,200,512,1.5004587173461914,gcf_16x16x16_0,1619961883334,1619961883465,131,1F4MMOLTV,1619961883214,1G8TA0R,913739,True,linux,v14.16.1,GCF,1G8TA0R,1F4MMOLTV,38
