mem,cStart,eLat,bLat,eCost
1152,0,661.19,662,0.0000127118
1152,0,411.4,412,0.0000079868
1152,0,480.66,481,0.0000092909
1152,0,523.42,524,0.0000101036
1152,0,539.68,540,0.0000104060
1184,0,693.91,694,0.0000136809
1184,0,485.22,486,0.0000096406
1184,0,611.86,612,0.0000120881
1184,0,513.24,514,0.0000101845
1184,0,627.15,628,0.0000123989
1216,0,615.92,616,0.0000124892
1216,0,610.55,611,0.0000123895
1216,0,539.43,540,0.0000109730
1216,0,532.64,533,0.0000108334
1216,0,651.87,652,0.0000132074
1248,0,601.99,602,0.0000125260
1248,0,601.72,602,0.0000125260
1248,0,495.62,496,0.0000103556
1248,0,502.0,502,0.0000104785
1248,0,577.18,578,0.0000120346
1280,0,704.14,705,0.0000150050
1280,0,633.67,634,0.0000135140
1280,0,576.02,577,0.0000123170
1280,0,593.32,594,0.0000126740
1280,0,506.47,507,0.0000108470
1312,0,651.7,652,0.0000142343
1312,0,456.09,457,0.0000100369
1312,0,665.55,666,0.0000145357
1312,0,517.0,518,0.0000113500
1312,0,468.03,469,0.0000102952
1344,0,523.81,524,0.0000117542
1344,0,683.66,684,0.0000152822
1344,0,647.46,648,0.0000144884
1344,0,566.58,567,0.0000127024
1344,0,560.03,561,0.0000125701
1376,0,771.6,772,0.0000176279
1376,0,568.06,569,0.0000130452
1376,0,662.91,663,0.0000151672
1376,0,607.58,608,0.0000139256
1376,0,587.27,588,0.0000134741
1408,0,698.78,699,0.0000163469
1408,0,474.53,475,0.0000111725
1408,0,605.93,606,0.0000141986
1408,0,493.66,494,0.0000116114
1408,0,584.44,585,0.0000137135
1440,0,888.29,889,0.0000212026
1440,0,585.72,586,0.0000140443
1440,0,663.5,664,0.0000158870
1440,0,517.81,518,0.0000124378
1440,0,546.58,547,0.0000131229
1472,0,520.11,521,0.0000127822
1472,0,460.72,461,0.0000113332
1472,0,536.08,537,0.0000131686
1472,0,551.91,552,0.0000135308
1472,0,555.96,556,0.0000136274
1504,0,569.01,570,0.0000142648
1504,0,572.82,573,0.0000143388
1504,0,592.77,593,0.0000148323
1504,0,567.57,568,0.0000142154
1504,0,589.37,590,0.0000147583
1536,0,691.23,692,0.0000176384
1536,0,923.6,924,0.0000234848
1536,0,704.91,705,0.0000179660
1536,0,552.08,553,0.0000141356
1536,0,616.78,617,0.0000157484
1568,0,563.2,564,0.0000147089
1568,0,666.82,667,0.0000173586
1568,0,535.74,536,0.0000139886
1568,0,601.02,602,0.0000156865
1568,0,635.68,636,0.0000165611
1600,0,566.69,567,0.0000150838
1600,0,594.33,595,0.0000158188
1600,0,510.53,511,0.0000136138
1600,0,431.52,432,0.0000115400
1600,0,750.06,751,0.0000199138
1632,0,500.09,501,0.0000136143
1632,0,458.16,459,0.0000124897
1632,0,629.61,630,0.0000170683
1632,0,611.96,612,0.0000165863
1632,0,521.85,522,0.0000141766
1664,0,692.82,693,0.0000191189
1664,0,469.84,470,0.0000130310
1664,0,544.85,545,0.0000150785
1664,0,604.75,605,0.0000167165
1664,0,632.02,633,0.0000174809
1696,0,564.3,565,0.0000159211
1696,0,512.99,513,0.0000144742
1696,0,545.47,546,0.0000153925
1696,0,743.33,744,0.0000209018
1696,0,519.5,520,0.0000146690
1728,0,543.77,544,0.0000156224
1728,0,602.36,603,0.0000172951
1728,0,449.09,450,0.0000129575
1728,0,487.48,488,0.0000140348
1728,0,500.32,501,0.0000144034
1760,0,540.15,541,0.0000158214
1760,0,668.61,669,0.0000195174
1760,0,520.47,521,0.0000152439
1760,0,473.03,474,0.0000138868
1760,0,520.15,521,0.0000152439
1792,0,689.49,690,0.0000204860
1792,0,498.08,499,0.0000148706
1792,0,608.83,609,0.0000181046
1792,0,622.47,623,0.0000185162
1792,0,558.49,559,0.0000166346
1824,0,532.14,533,0.0000161500
1824,0,563.49,564,0.0000170777
1824,0,473.69,474,0.0000143845
1824,0,526.0,526,0.0000159406
1824,0,434.94,435,0.0000132174
1856,0,441.29,442,0.0000136589
1856,0,530.89,531,0.0000163690
1856,0,567.13,568,0.0000174956
1856,0,602.26,603,0.0000185614
1856,0,487.34,488,0.0000150596
1888,0,578.35,579,0.0000181345
1888,0,552.71,553,0.0000173292
1888,0,418.26,419,0.0000131785
1888,0,584.81,585,0.0000183204
1888,0,526.95,527,0.0000165238
1920,0,563.18,564,0.0000179660
1920,0,455.84,456,0.0000145640
1920,0,534.2,535,0.0000170525
1920,0,588.26,589,0.0000187535
1920,0,561.59,562,0.0000179030
1952,0,453.82,454,0.0000147394
1952,0,683.88,684,0.0000221051
1952,0,397.47,398,0.0000129460
1952,0,795.41,796,0.0000256919
1952,0,587.16,588,0.0000190307
1984,0,675.83,676,0.0000222038
1984,0,514.03,515,0.0000169633
1984,0,658.7,659,0.0000216505
1984,0,649.28,650,0.0000213575
1984,0,569.52,570,0.0000187535
2016,0,556.45,557,0.0000186228
2016,0,499.89,500,0.0000167375
2016,0,451.27,452,0.0000151499
2016,0,553.74,554,0.0000185236
2016,0,539.69,540,0.0000180605
2048,0,638.79,639,0.0000216704
2048,0,545.88,546,0.0000185456
2048,0,536.67,537,0.0000182432
2048,0,509.14,510,0.0000173360
2048,0,602.21,603,0.0000204608
2080,0,605.95,606,0.0000208798
2080,0,563.04,564,0.0000194465
2080,0,561.94,562,0.0000193783
2080,0,566.3,567,0.0000195489
2080,0,593.6,594,0.0000204703
2112,0,637.13,638,0.0000223067
2112,0,616.08,617,0.0000215791
2112,0,585.1,586,0.0000205049
2112,0,604.95,605,0.0000211633
